::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.828 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.445 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 10.453 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.757 ms
::1 - GET /?page=1 HTTP/1.1 200 4885 - 9.342 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 4.259 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.973 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 9.933 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.916 ms
::1 - GET /article/modify/12 HTTP/1.1 200 1558 - 5.508 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 7.020 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 7.675 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 8.833 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.278 ms
::1 - GET / HTTP/1.1 200 3703 - 45.188 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 12.135 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 18.668 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 14.993 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.098 ms
::1 - GET / HTTP/1.1 200 3703 - 49.657 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 12.647 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 17.987 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 16.499 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 2.481 ms
::1 - GET / HTTP/1.1 200 3703 - 82.411 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 11.163 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.778 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 17.841 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 2.728 ms
::1 - GET / HTTP/1.1 200 3703 - 75.603 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 5.954 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.669 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 6.870 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.063 ms
::1 - GET /article/edit HTTP/1.1 - - - - ms
::1 - GET / HTTP/1.1 200 3703 - 71.293 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 9.123 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 18.802 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 16.698 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.904 ms
::1 - GET / HTTP/1.1 200 3703 - 36.015 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 9.156 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 14.781 ms
::ffff:127.0.0.1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 12.934 ms
::ffff:127.0.0.1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.894 ms
::1 - GET /article/12 HTTP/1.1 200 1453 - 109.499 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.635 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.513 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 16.781 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.694 ms
::1 - GET /article/12 HTTP/1.1 200 1453 - 132.942 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 8.642 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 17.871 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 16.299 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 2.383 ms
::1 - GET / HTTP/1.1 200 3711 - 52.991 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 10.439 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 16.086 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 13.578 ms
